File,Date,Time,Image quality,Location,DateStart,Classifier,CommentsImages,EventStart,EventEnd,Duration,Species,DirectionTravel,Total,AdultFemale,AdultMale,AdultUnknown,Subadult,YLY,YOY,Folder 
M0031701.JPG,10-Aug-09,3:31 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031801.JPG,10-Aug-09,3:31 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0031901.JPG,10-Aug-09,3:32 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032001.JPG,10-Aug-09,3:32 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032101.JPG,10-Aug-09,3:32 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032201.JPG,10-Aug-09,3:32 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032301.JPG,10-Aug-09,3:32 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032401.JPG,10-Aug-09,3:32 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032501.JPG,10-Aug-09,3:34 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032601.JPG,10-Aug-09,3:35 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032701.JPG,10-Aug-09,3:35 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032801.JPG,10-Aug-09,3:35 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0032901.JPG,10-Aug-09,3:37 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033001.JPG,10-Aug-09,3:38 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033101.JPG,10-Aug-09,3:38 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033201.JPG,10-Aug-09,3:38 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033301.JPG,10-Aug-09,3:39 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033401.JPG,10-Aug-09,3:39 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033501.JPG,10-Aug-09,3:39 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033601.JPG,10-Aug-09,3:39 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033701.JPG,10-Aug-09,3:42 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0033801.JPG,10-Aug-09,3:42 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
