CAMERA_DIS,CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
WB_ S8 6000,WB_ S8,6000,1110964,111096400,0,26.68557739,26.68557739,2.255028773,1.563961844
WB_ S9 6000,WB_ S9,6000,1131781,113178100,0,26.85128784,26.85128784,2.871347716,1.997943309
WB_ W1 6000,WB_ W1,6000,1131838,113183800,0,80.3848877,80.3848877,2.65766219,1.872929342
WB_ W10 6000,WB_ W10,6000,1131611,113161100,0,33.09527588,33.09527588,2.977284788,2.644842224
WB_ W2 6000,WB_ W2,6000,1131900,113190000,0,22.44308472,22.44308472,2.130252074,1.637955667
WB_ W3 6000,WB_ W3,6000,1131836,113183600,0,21.16629028,21.16629028,2.039702408,1.637070026
WB_ W4 6000,WB_ W4,6000,1131749,113174900,0,25.10891724,25.10891724,2.037621076,1.649499158
WB_ W5 6000,WB_ W5,6000,1131673,113167300,0,24.81521606,24.81521606,2.62098798,1.981651796
WB_ W6 6000,WB_ W6,6000,1131713,113171300,0.000183105,15.19360352,15.19342041,2.232863644,1.50316352
WB_ W7 6000,WB_ W7,6000,1131831,113183100,0,79.33703613,79.33703613,3.338955079,2.503601494
WB_ W8 6000,WB_ W8,6000,1131698,113169800,0,27.81448364,27.81448364,2.306717553,1.872258629
WB_ W9 6000,WB_ W9,6000,1131535,113153500,0.001312256,21.35488892,21.35357666,3.218489812,1.906880129
W01 6250,W01,6250,839732,83973200,0,33.93460083,33.93460083,1.674992245,1.645036084
W02 6250,W02,6250,1127700,112770000,0,20.64529419,20.64529419,1.776647512,1.544296409
W03 6250,W03,6250,1228190,122819000,0,22.07466125,22.07466125,2.006797418,1.711971289
W04 6250,W04,6250,1228195,122819500,0,16.71539307,16.71539307,1.604973178,1.428321306
W05 6250,W05,6250,1228210,122821000,0,23.30554199,23.30554199,2.314465906,1.737096881
W06 6250,W06,6250,1228183,122818300,0,22.44308472,22.44308472,1.954436537,1.593949547
W07 6250,W07,6250,1228150,122815000,0,22.07466125,22.07466125,2.139711285,1.71545795
W08 6250,W08,6250,1228032,122803200,0,26.20523071,26.20523071,2.887733894,1.792999726
W09 6250,W09,6250,1228050,122805000,0,26.20523071,26.20523071,2.441340207,1.743416641
W10 6250,W10,6250,1228011,122801100,0.000106812,22.06221008,22.06210327,3.239106262,1.799229376
W11 6250,W11,6250,1228143,122814300,0,80.3848877,80.3848877,2.61627741,1.85520732
W12 6250,W12,6250,1228112,122811200,0,80.3848877,80.3848877,2.649782173,2.045533673
W13 6250,W13,6250,1228074,122807400,0,27.0496521,27.0496521,2.518279079,1.88252643
W14 6250,W14,6250,1228051,122805100,0,19.67919922,19.67919922,2.785267567,1.865164804
W15 6250,W15,6250,1227996,122799600,0,18.16313171,18.16313171,3.176143581,1.817100166
W16 6250,W16,6250,546598,54659800,0,18.63026428,18.63026428,2.105605184,1.508069797
W17 6250,W17,6250,946021,94602100,0,18.52572632,18.52572632,2.241362575,1.386251597
W18 6250,W18,6250,1132346,113234600,0,18.52572632,18.52572632,2.056783746,1.392082441
W19 6250,W19,6250,1211116,121111600,0,79.33703613,79.33703613,2.547533744,1.921725537
