"site","Easting","Northing","start_date","end_date"
"WW-W34",353869.2976,5953179.098,2007-12-15 22:40:00,2008-03-08 15:07:00
"WW-W35",360654.9424,5959787.953,2007-12-14 14:38:00,2008-03-13 09:31:00
"WW-W36",366746.2927,5954586.014,2007-12-14 04:25:00,2008-03-10 13:23:00
"WW-W37",371407.6604,5952884.335,2007-12-16 08:28:00,2008-03-10 13:35:00
"WW-W38",379117.8554,5955215.362,2007-12-17 23:21:00,2008-03-10 12:52:00
"WW-W39",386765.0878,5953540.248,2007-12-15 22:57:00,2008-03-10 11:47:00
"WW-W4",311486.0607,5969886.441,2006-12-12 17:55:00,2007-03-26 09:54:00
"WW-W40",378145.397,5946964.383,2007-12-15 10:08:00,2008-03-10 13:07:00
"WW-W41",385150.6543,5942176.161,2007-12-14 19:11:00,2008-03-10 12:30:00
"WW-W42",382687.8982,5948241.987,2007-12-15 09:15:00,2008-03-10 12:34:00
"WW-W43",395703.1461,5956686.726,2007-12-16 06:47:00,2008-03-10 12:02:00
"WW-W44",395498.5395,5948384.691,2007-12-20 21:38:00,2008-03-10 11:24:00
"WW-W45",393929.1728,5945112.45,2007-12-15 13:30:00,2008-03-10 11:28:00
"WW-W46",403045.5072,5943465.119,2007-12-15 04:44:00,2008-03-10 10:21:00
"WW-W47",410668.4348,5939782.736,2007-12-13 21:19:00,2008-03-10 09:55:00
"WW-W48",420798.51,5936951.214,2007-12-18 12:33:00,2008-03-10 09:51:00
"WW-W49",412981.3435,5933830.317,2008-01-05 03:35:00,2008-03-10 08:02:00
"WW-W5",310136.8227,5975412.053,2006-12-13 08:51:00,2007-03-26 10:40:00
"WW-W50",409194.1361,5929862.05,2007-12-25 11:50:00,2008-03-10 08:09:00
"WW-W51",403866.9719,5928641.248,2007-12-15 11:45:00,2008-03-10 08:24:00
"WW-W52",396678.3747,5926639.393,2007-12-16 08:45:00,2008-03-10 08:57:00
"WW-W53",396667.4772,5934814.147,2008-01-05 13:07:00,2008-03-10 08:46:00
"WW-W54",389718.1678,5926399.594,2007-12-30 09:14:00,2008-03-13 13:37:00
"WW-W55",360628.5297,5949438.58,2007-12-27 23:36:00,2008-03-13 09:16:00
"WW-W56",368407.6047,5944286.248,2007-12-14 12:34:00,2008-03-13 08:35:00
"WW-W57",371058.9732,5936066.17,2007-12-16 05:58:00,2008-03-13 08:16:00
"WW-W58",375913.8389,5931906.419,2008-01-08 21:22:00,2008-03-13 08:13:00
"WW-W59",363817.4984,5940056.645,2007-12-19 05:29:00,2008-03-13 08:49:00
"WW-W6",314834.2845,5971805.304,2006-12-15 11:17:00,2007-03-26 11:09:00
"WW-W60",350425.4743,5942144.189,2007-12-23 10:34:00,2008-03-11 09:59:00
"WW-W61",343850.2996,5946605.715,2007-12-16 16:38:00,2008-03-11 11:22:00
"WW-W62",342508.7223,5938280.656,2007-12-15 13:38:00,2008-03-11 11:24:00
"WW-W63",343562.2532,5930367.742,2007-12-13 14:53:00,2008-03-11 08:56:00
"WW-W64",350117.1797,5933231.931,2007-12-14 16:41:00,2008-03-11 09:27:00
"WW-W65",356259.6299,5936371.602,2007-12-13 21:30:00,2008-03-11 09:44:00
"WW-W66",359632.3793,5927150.338,2007-12-15 14:12:00,2008-02-14 08:26:00
"WW-W7",319886.149,5968969.749,2006-12-12 16:04:00,2007-03-26 11:53:00
"WW-W8",330580.6214,5974592.157,2006-12-13 15:41:00,2007-03-20 14:26:00
"WW-W9",329727.6356,5970510.26,2006-12-17 11:58:00,2007-03-26 13:33:00
