"site","radius","bpsdl","cultivation","disturbedvegetation","harvestareas","industrial_sites","landfill","mine_sites","othervegsurfacesrecreation","pipelines","railways","reservoirs","residential_areas","roads","seismiclines","transmissionlines","verge","wellsites","wind_gen_facilities","dense_conifer","moderate_conifer","open_conifer","mixed","broadleaf","treed_wetland","shrub","herb","open_wetland","barren","water","shadow_or_no_data","snow_or_ice","regeneration","cloud_or_no_data","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"SW-S25",4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640499648515,0,0,0,0,25.21977398,48.04495703,2.573599987,2.899538317,0.625919059,5.882279693,2.121822807,3.874896683,0.867799075,7.716230322,0.17176554,0,0,0,0,7294.071915,7253.549584,2.640150566
"SW-S25",500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.175526809,76.63003839,1.198514506,0.229183118,0,15.76653749,0,0,0,0,0,0,0,0,0,7814.214286,7694,0.877052249
"SW-S25",1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170420839231071,0,0,0,0,10.22560059,74.33935534,3.20238819,0.198887401,0,11.52440145,0,0,0.509295818,0,0,0,0,0,0,7887.358779,7655.969466,1.056741799
"SW-S25",4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072090583807685,0,0,0,0,24.16383647,52.61070121,2.698965621,2.544054744,0.497406871,5.727709605,2.055224549,3.490780571,0.643850434,5.55000269,0.017446466,0,0,0,0,7475.421152,7441.628895,2.436226737
"SW-S25",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034309838120541,0,0,0,0,10.64147348,65.77329773,4.222346319,0.171887339,0,19.06663534,0,0,0.12428871,0,0,0,0,0,0,7892.448276,7677.603448,0.940323645
"SW-S25",1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091737474244113,0,0,0,0,11.40395407,70.1649735,3.311324419,0.110007897,0,14.4169937,0,0,0.592660802,0,0,0,0,0,0,7890.131868,7671.725275,0.989159867
"SW-S25",2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141751306758332,0,0,0,0,13.89316396,73.70631388,3.149272888,0.253162213,0,8.114589047,0.347578999,0.196345506,0.339530545,0,0,0,0,0,0,7836.814815,7586.548822,1.547885127
"SW-S25",5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06213239430629,0,0,0,0,26.03402266,45.60066204,2.630256429,3.074066126,0.772613441,6.055006315,2.278265029,4.188126065,0.86815181,8.279144919,0.196499912,0,0,0,0,7244.556391,7187.440191,2.738796694
"SW-S25",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.454589139,95.54496911,0,0,0,4.37994e-07,0,0,0,0,0,0,0,0,0,7655,7649,0.793790776
"SW-S25",2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130573272016437,0,0,0,0,16.91476297,70.31032199,3.026620804,0.454313088,0.018334649,7.947601596,0.717461293,0.298283993,0.275019742,0,0.03724382,0,0,0,0,7832.953425,7602.232877,1.643764768
"SW-S25",3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082571120618872,0,0,0,0,22.05108315,58.75563732,2.985344018,2.401034901,0.466426795,5.890159154,2.260493715,2.123528282,0.735080782,2.30877956,0.022409016,0,0,0,0,7684.339806,7601.53034,2.250830275
"SW-S25",3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108579950235144,0,0,0,0,20.04854968,66.48390184,3.04541008,1.523208284,0.264780472,6.692741596,1.298391476,0.375605666,0.206901426,0.025464791,0.035014087,0,0,0,0,7824.585551,7640.579848,1.904062669
"SW-S25",3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097202635995497,0,0,0,0,20.71151676,64.11274068,3.130851634,1.970105673,0.388178029,6.517559558,1.842520853,0.921976771,0.257680297,0.117006499,0.029834489,0,0,0,0,7809.030596,7642.391304,2.019491143
"SW-S25",3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088934630825581,0,0,0,0,21.25415904,61.62433442,3.139321446,2.193336515,0.440083449,6.234167299,2.141253532,1.50579406,0.529583807,0.912215024,0.025724636,0,0,0,0,7766.962238,7637.303497,2.132992922
